Start Date,1/1/1980,,,,,,,
End Date,,,,,,,,
,,,,,,,,
,SPX Index,,,,,,,
,Last Price,Bid Price,Last Trade/Last Price,Ask Price,Mid Price,Price Change 1 Day Percent,Current Market Cap,Closing Price 1 Day Ago
Dates,PX_LAST,PX_BID,LAST_PRICE,PX_ASK,PX_MID,CHG_PCT_1D,CUR_MKT_CAP,PX_CLOSE_1D
1/1/1980,,,,,,,,
1/2/1980,105.76,,105.76,,,-2.02,,107.94
1/3/1980,105.22,,105.22,,,-0.51,,105.76
1/4/1980,106.52,,106.52,,,1.24,,105.22
1/5/1980,,,,,,,,
1/6/1980,,,,,,,,
1/7/1980,106.81,,106.81,,,0.27,,106.52
1/8/1980,108.95,,108.95,,,2,,106.81
1/9/1980,109.05,,109.05,,,0.09,,108.95
1/10/1980,109.89,,109.89,,,0.77,,109.05
1/11/1980,109.92,,109.92,,,0.03,,109.89
1/12/1980,,,,,,,,
1/13/1980,,,,,,,,
1/14/1980,110.38,,110.38,,,0.42,,109.92
1/15/1980,111.14,,111.14,,,0.69,,110.38
1/16/1980,111.05,,111.05,,,-0.08,,111.14
1/17/1980,110.7,,110.7,,,-0.32,,111.05
1/18/1980,111.07,,111.07,,,0.33,,110.7
1/19/1980,,,,,,,,
1/20/1980,,,,,,,,
1/21/1980,112.1,,112.1,,,0.93,,111.07
1/22/1980,111.51,,111.51,,,-0.53,,112.1
1/23/1980,113.44,,113.44,,,1.73,,111.51
1/24/1980,113.7,,113.7,,,0.23,,113.44
1/25/1980,113.61,,113.61,,,-0.08,,113.7
1/26/1980,,,,,,,,
1/27/1980,,,,,,,,
1/28/1980,114.85,,114.85,,,1.09,,113.61
1/29/1980,114.07,,114.07,,,-0.68,,114.85
1/30/1980,115.2,,115.2,,,0.99,,114.07
1/31/1980,114.16,,114.16,,,-0.9,,115.2
2/1/1980,115.12,,115.12,,,0.84,,114.16
2/2/1980,,,,,,,,
2/3/1980,,,,,,,,
2/4/1980,114.37,,114.37,,,-0.65,,115.12
2/5/1980,114.66,,114.66,,,0.25,,114.37
2/6/1980,115.72,,115.72,,,0.92,,114.66
2/7/1980,116.28,,116.28,,,0.48,,115.72
2/8/1980,117.95,,117.95,,,1.44,,116.28
2/9/1980,,,,,,,,
2/10/1980,,,,,,,,
2/11/1980,117.12,,117.12,,,-0.7,,117.95
2/12/1980,117.9,,117.9,,,0.67,,117.12
2/13/1980,118.44,,118.44,,,0.46,,117.9
2/14/1980,116.72,,116.72,,,-1.45,,118.44
2/15/1980,115.41,,115.41,,,-1.12,,116.72
2/16/1980,,,,,,,,
2/17/1980,,,,,,,,
2/18/1980,,,,,,,,
2/19/1980,114.6,,114.6,,,-0.7,,115.41
2/20/1980,116.47,,116.47,,,1.63,,114.6
2/21/1980,115.28,,115.28,,,-1.02,,116.47
2/22/1980,115.04,,115.04,,,-0.21,,115.28
2/23/1980,,,,,,,,
2/24/1980,,,,,,,,
2/25/1980,113.33,,113.33,,,-1.49,,115.04
2/26/1980,113.98,,113.98,,,0.57,,113.33
2/27/1980,112.38,,112.38,,,-1.4,,113.98
2/28/1980,112.35,,112.35,,,-0.03,,112.38
2/29/1980,113.66,,113.66,,,1.17,,112.35
3/1/1980,,,,,,,,
3/2/1980,,,,,,,,
3/3/1980,112.5,,112.5,,,-1.02,,113.66
3/4/1980,112.78,,112.78,,,0.25,,112.5
3/5/1980,111.13,,111.13,,,-1.46,,112.78
3/6/1980,108.65,,108.65,,,-2.23,,111.13
3/7/1980,106.9,,106.9,,,-1.61,,108.65
3/8/1980,,,,,,,,
3/9/1980,,,,,,,,
3/10/1980,106.51,,106.51,,,-0.36,,106.9
3/11/1980,107.78,,107.78,,,1.19,,106.51
3/12/1980,106.87,,106.87,,,-0.84,,107.78
3/13/1980,105.62,,105.62,,,-1.17,,106.87
3/14/1980,105.43,,105.43,,,-0.18,,105.62
3/15/1980,,,,,,,,
3/16/1980,,,,,,,,
3/17/1980,102.26,,102.26,,,-3.01,,105.43
3/18/1980,104.1,,104.1,,,1.8,,102.26
3/19/1980,104.31,,104.31,,,0.2,,104.1
3/20/1980,103.12,,103.12,,,-1.14,,104.31
3/21/1980,102.31,,102.31,,,-0.79,,103.12
3/22/1980,,,,,,,,
3/23/1980,,,,,,,,
3/24/1980,99.28,,99.28,,,-2.96,,102.31
3/25/1980,99.19,,99.19,,,-0.09,,99.28
3/26/1980,98.68,,98.68,,,-0.51,,99.19
3/27/1980,98.22,,98.22,,,-0.47,,98.68
3/28/1980,100.68,,100.68,,,2.5,,98.22
3/29/1980,,,,,,,,
3/30/1980,,,,,,,,
3/31/1980,102.09,,102.09,,,1.4,,100.68
4/1/1980,102.18,,102.18,,,0.09,,102.09
